db,version,url_num,url
14sea,2017-01-29,1,http://www.14sea.org/img/14SEA_Full_Dataset_2017-01-29.xlsx
adrac,today,1,https://raw.githubusercontent.com/dirkseidensticker/aDRAC/master/aDRAC.csv
austarch,2013-11-28,1,https://archaeologydataservice.ac.uk/catalogue/adsdata/arch-1661-1/dissemination/csv/Austarch_1-3_and_IDASQ_28Nov13-1.csv
calpal,2020-08-20,1,https://raw.githubusercontent.com/nevrome/CalPal-Database/master/CalPal_2020_08_20.tsv
kiteeastafrica,2016-04-28,1,https://dataverse.harvard.edu/api/access/datafile/:persistentId?persistentId=doi:10.7910/DVN/NJLNRJ/L8KRSL
eubar,2017-10-02,1,https://telearchaeology.org/EUBAR/EUBAR%20def.xlsx
euroevol,2015-07-09,1,https://discovery.ucl.ac.uk/id/eprint/1469811/7/EUROEVOL09-07-201516-34_C14Samples.csv
euroevol,,2,https://discovery.ucl.ac.uk/id/eprint/1469811/9/EUROEVOL09-07-201516-34_CommonSites.csv
euroevol,,3,https://discovery.ucl.ac.uk/id/eprint/1469811/8/EUROEVOL09-07-201516-34_CommonPhases.csv
palmisano,2017-09-23,1,https://discovery.ucl.ac.uk/1575442/1/Palmisanoetal.zip
radon,today,1,https://radon.ufg.uni-kiel.de/radondaily.txt
radonb,today,1,https://radon-b.ufg.uni-kiel.de/radondaily.txt
irdd,2018-08-13,1,https://zenodo.org/record/3367518/files/Chapple%2C%20RM%202019%20Catalogue%20of%20radiocarbon%20determinations%20%26%20dendrochronology%20dates%20%28August%202019%20Release%29.xlsx
pacea,2020-01-22,1,http://www.paleoanthro.org/media/journal/content/PA20110001_S01.zip
14cpalaeolithic,2022-02-01,1,https://ees.kuleuven.be/en/geography/projects/14c-palaeolithic/download/radiocarbon-palaeolithic-europe-Database-v29-extract.xlsx
medafricarbon,2020-03-20,1,https://zenodo.org/record/3689716/files/data_v1.0.3.zip
jomon,today,1,https://raw.githubusercontent.com/ercrema/jomonPhasesAndPopulation/master/data/c14dates.csv
katsianis,2020-08-20,1,https://rdr.ucl.ac.uk/ndownloader/files/23166314
rapanui,2020-08-21,1,https://github.com/clipo/rapanui-radiocarbon/archive/master.zip
mesorad,2020-09-01,1,https://github.com/eehh-stanford/price2020/raw/master/MesoRAD-v.1.1_FINAL_no_locations.xlsx
bda,2020-03-29,1,https://api.nakala.fr/data/10.34847/nkl.dde9fnm8/189e04d917ffd68352a389006f357b58efda855e
nerd,today,1,https://raw.githubusercontent.com/apalmisano82/NERD/main/nerd.csv
rxpand,2020-10-20,1,https://raw.githubusercontent.com/jgregoriods/rxpand/master/data/expand.csv
agrichange,2021-05-21,1,https://zenodo.org/record/4541470/files/AgriChange_14Cdatabase.xlsx
caribbean,2021-05-21,1,https://raw.githubusercontent.com/philriris/caribbean-14C/main/data/caribbean_14C.csv
aida,today,1,https://raw.githubusercontent.com/apalmisano82/AIDA/main/dates.csv
sard,2021-03-01,1,https://raw.githubusercontent.com/emmaloftus/Southern-African-Radiocarbon-Database/main/SARD_Mar2021_14C.csv
p3k14c,2021-08-03,1,https://raw.githubusercontent.com/people3k/p3k14c/1.0.0/inst/p3k14c_scrubbed_fuzzed.csv
neonet,2023-12-08,2,https://digitallib.unipi.it/fedora/objects/mag:2814/datastreams/MMb714bbfacf4af2ce1fd7025e3789a99b/content
neonetb,2023-12-08,1,https://digitallib.unipi.it/fedora/objects/mag:2627/datastreams/MM54ff3698c0ea78b77469ce6462c2ca36/content
